rvalue,product,code,size,thickness,tapbn
R1.0,Pink® Batts® Masonry R1.0,7160110,1220 x 580,40,21.2
R1.2,Pink® Batts® Masonry R1.2,7160134,1220 x 580,50,17.0
R2.2,Pink® Batts® Classic R2.2 70mm Wall,7160248,1140 x 560,70,6.4
R1.8,Pink® Batts® Classic R1.8 Wall,7127118,1140 x 560,90,16.6
R2.2,Pink® Batts® Classic R2.2 Wall,7127122,1140 x 560,90,13.4
R2.2,Pink® Batts® Steel R2.2 Wall,7160214,1220 x 610,90,15.6
R2.2,Pink® Batts® R2.2 Narrow Wall,7160243,1140 x 360,90,9.0
R2.4,Pink® Batts® Classic R2.4 Wall,7127124,1140 x 560,90,10.2
R2.6,Pink® Batts® Ultra® R2.6 Wall,7127126,1140 x 560,90,9.6
R2.6,Pink® Batts® Ultra® Steel R2.6 Wall,7160215,1220 x 610,90,9.7
R2.6,Pink® Batts® Ultra® R2.6 Narrow Wall,7160244,1140 x 360,90,7.4
R2.8,Pink® Batts® Ultra® R2.8 Wall,7127128,1140 x 560,90,6.4
R2.8,Pink® Batts® Ultra® R2.8 Narrow Wall,7160247,1140 x 360,90,4.5
R3.2,Pink® Batts® Ultra® R3.2 140mm Wall,7127132,1140 x 56,140,9.6
R3.2,Pink® Batts® Ultra® R3.2 140mm Narrow Wall,7160245,1140 x 360,140,7.0
R3.6,Pink® Batts® Ultra® R3.6 140mm Wall,7127136,1140 x 560,140,7.0
R4.0,Pink® Batts® Ultra® R4.0 140mm Wall,7127140,1140 x 560,140,5.1
R4.0,Pink® Batts® Ultra® R4.0 140mm Narrow Wall,7160246,1140 x 360,140,4.1
R2.4,Pink® Batts® HandyPack R2.4,7200158,7000 x 580,90,4.06
n/a,Pink® Batts® Silencer® 100mm,7317001,1140 x 560,100,12.8
n/a,Pink® Batts® Silencer® 75mm,7317003,1140 x 560,75,16.6
n/a,Pink® Batts® Silencer® Midfloor,7310051,1140 x 432,150,4.9
